Date,Open,High,Low,Close,TR1,+DM1,-DM1,TR14,+DM14,-DM14,+DI14,-DI14,DI14 Diff,DI14 Sum,DX,ADX,Trend,Up/Down,Decision,USD,BTC,Value (USD)
2/11/14 15:00,695.08,696.25,682.7,682.7,13.55,0,12.38,193.4552117,42.14661717,45.16965384,21.78624023,23.34889478,1.56265455,45.13513502,3.462168773,16.54519271,,Down,,1000000,0,1000000
2/11/14 16:00,682.7,692.66,682.31,688.06,10.35,0,0.39,189.9869823,39.13614452,42.33324999,20.59938215,22.28218454,1.682802389,42.88156668,3.924302491,15.64370055,,Down,,1000000,0,1000000
2/11/14 17:00,688.06,688.97,673.5,673.5,15.47,0,8.81,191.8864836,36.34070562,48.11944642,18.93864797,25.07703801,6.138390043,44.01568598,13.94591475,15.52243014,,Down,,1000000,0,1000000
2/11/14 18:00,673.5,673.17,644.97,660.93,28.53,0,28.53,206.7103062,33.74494093,73.21234311,16.32475011,35.41784851,19.09309841,51.74259862,36.90015367,17.04941039,,Down,,1000000,0,1000000
2/11/14 19:00,660.93,662.25,639.28,652.75,22.97,0,5.69,214.9152843,31.33458801,73.67289003,14.57997188,34.27996769,19.69999582,48.85993957,40.31932088,18.71154686,,Down,,1000000,0,1000000
2/11/14 20:00,652.75,657.66,637.03,643.77,20.63,0,2.25,220.1941926,29.09640315,70.66054074,13.21397391,32.09010188,18.87612798,45.30407579,41.66540791,20.35110836,,Down,,1000000,0,1000000
2/11/14 21:00,643.77,652.12,635.36,637.15,16.76,0,1.67,221.226036,27.01808864,67.28335926,12.21288829,30.41385204,18.20096375,42.62674033,42.69846488,21.94734811,,Down,,1000000,0,1000000
2/11/14 22:00,637.15,655.1,636.64,653.01,18.46,2.98,0,223.8841762,28.06822517,62.47740503,12.53694014,27.9061281,15.36918796,40.44306825,38.00203255,23.09411128,,Down,,1000000,0,1000000
2/11/14 23:00,653.01,678.39,654.44,669.19,25.38,23.29,0,233.2724494,49.35335194,58.01473324,21.15695706,24.86994645,3.712989391,46.02690351,8.066998012,22.02074605,,Down,,1000000,0,1000000
2/12/14 0:00,669.44,677.24,658.38,669.52,18.86,0,0,235.4701316,45.82811252,53.87082372,19.4623888,22.877986,3.415597193,42.3403748,8.066998012,21.02404976,,Down,,1000000,0,1000000
2/12/14 1:00,669.52,669.75,652.22,655.99,17.53,0,6.16,236.1808364,42.55467591,56.18290774,18.01783606,23.78808907,5.770253014,41.80592513,13.80247655,20.5082231,,Down,,1000000,0,1000000
2/12/14 2:00,655.99,664.18,654.42,657.54,9.76,0,0,229.0707767,39.5150562,52.1698429,17.25015158,22.77455189,5.524400312,40.02470347,13.80247655,20.02924121,,Down,,1000000,0,1000000
2/12/14 3:00,657.54,670.28,656.03,666.05,14.25,6.1,0,226.9585784,42.79255219,48.44342555,18.85478509,21.34461094,2.489825856,40.19939603,6.193689711,19.04098753,,Down,,1000000,0,1000000
2/12/14 4:00,666.05,672.12,662.87,664,9.25,1.84,0,219.9972513,41.57594132,44.98318087,18.89839126,20.44715586,1.548764602,39.34554712,3.936314819,17.96208234,,Down,,1000000,0,1000000
2/12/14 5:00,664,671.3,663.55,667.6,7.75,0,0,212.033162,38.60623122,41.77009652,18.20763831,19.69979419,1.492155883,37.9074325,3.936314819,16.9602418,,Down,,1000000,0,1000000
2/12/14 6:00,667.6,667.42,653.25,659.84,14.35,0,10.3,211.2379361,35.84864328,49.0865182,16.97074112,23.23754866,6.266807547,40.20828978,15.58585949,16.86207163,,Down,,1000000,0,1000000
2/12/14 7:00,659.84,658.65,633.87,638.81,25.97,0,19.38,222.1195121,33.2880259,64.96033833,14.98653837,29.24566947,14.2591311,44.23220783,32.23698702,17.96027988,,Down,,1000000,0,1000000
2/12/14 8:00,638.81,648.58,638.42,645.44,10.16,0,0,216.4138327,30.91030976,60.32031416,14.28296398,27.87267035,13.58970637,42.15563433,32.23698702,18.98004467,,Down,,1000000,0,1000000
2/12/14 9:00,645.44,646.34,640.81,645.74,5.53,0,0,206.4857018,28.7024305,56.01172029,13.90044456,27.126198,13.22575344,41.02664256,32.23698702,19.92696913,,Down,,1000000,0,1000000
2/12/14 10:00,645.74,649.71,644.32,649.69,5.39,3.37,0,197.1267231,30.02225689,52.01088313,15.22992744,26.38449132,11.15456388,41.61441876,26.80456488,20.41822597,,Down,,1000000,0,1000000
2/12/14 11:00,649.69,653.74,648.04,653.74,5.7,4.03,0,188.7462428,31.90780997,48.29582005,16.90513649,25.58769876,8.682562277,42.49283525,20.43300294,20.41928146,,Down,,1000000,0,1000000
2/12/14 12:00,653.74,656.75,650.13,656.75,6.62,3.01,0,181.8843684,32.63868068,44.84611862,17.94474203,24.65638967,6.711647648,42.6011317,15.7546229,20.08609157,,Down,,1000000,0,1000000
2/12/14 13:00,656.75,660.32,652.26,652.62,8.06,3.57,0,176.9526278,33.87734635,41.64282443,19.14486763,23.5333179,4.388450275,42.67818553,10.28265429,19.38584605,,Down,,1000000,0,1000000
2/12/14 14:00,652.62,651.72,646.63,651.17,5.99,0,5.63,170.3031543,31.4575359,44.29833697,18.47149339,26.01146006,7.539966669,44.48295345,16.95023843,19.21187407,,Down,,1000000,0,1000000
2/12/14 15:00,651.17,658.57,649.41,654.53,9.16,6.85,0,167.2986433,36.06056905,41.13417004,21.55460937,24.58727054,3.032661172,46.14187991,6.572469907,18.30905949,,Down,,1000000,0,1000000
2/12/14 16:00,654.53,667.67,655.04,662.07,13.14,9.1,0,168.4887402,42.58481411,38.19601504,25.27457565,22.66977306,2.604802593,47.94434871,5.432971065,17.38933889,,Up,,1000000,0,1000000
2/12/14 17:00,662.07,665.47,659.66,662.27,5.81,0,0,162.2638302,39.54304168,35.46772825,24.36959711,21.85806178,2.511535332,46.22765889,5.432971065,16.53531262,,Up,,1000000,0,1000000
2/12/14 18:00,662.27,667.52,659.04,659.57,8.48,2.05,0,159.1535566,38.7685387,32.93431909,24.35920348,20.69342325,3.665780227,45.05262673,8.136662596,15.93540904,,Up,,1000000,0,1000000
2/12/14 19:00,659.57,660,653.83,655.91,6.17,0,5.21,153.9554454,35.99935737,35.79186773,23.38297113,23.24819861,0.134772523,46.63116974,0.289018104,14.81780969,,Up,,1000000,0,1000000
2/12/14 20:00,655.91,660.11,654.92,659.79,5.19,0.11,0,148.1486279,33.5379747,33.23530575,22.63805961,22.43375873,0.204300879,45.07181834,0.453278538,13.79177175,,Up,,1000000,0,1000000
2/12/14 21:00,659.79,660.49,657.7,657.98,2.79,0.38,0,140.3565831,31.52240508,30.86135534,22.45880057,21.98782178,0.470978792,44.44662235,1.059650355,12.88233451,,Up,,1000000,0,1000000
2/12/14 22:00,657.98,659.71,655.15,655.61,4.56,0,2.55,134.8911128,29.27080471,31.20697281,21.69957983,23.13493614,1.43535631,44.83451597,3.201453788,12.19084303,,Down,,1000000,0,1000000
2/12/14 23:00,655.61,656.22,647.99,648.35,8.23,0,7.16,133.4860333,27.18003295,36.13790333,20.36170547,27.0724228,6.710717334,47.43412826,14.14744527,12.33060033,,Down,,1000000,0,1000000
2/13/14 0:00,648.38,659.76,648.18,651.46,11.58,3.54,0,135.5313167,28.77860202,33.55662452,21.23391311,24.75931419,3.525401074,45.9932273,7.665043924,11.9973463,,Down,,1000000,0,1000000
2/13/14 1:00,651.46,653.52,648.93,651.09,4.59,0,0,130.4405083,26.72298759,31.15972277,20.48672451,23.88807216,3.401347656,44.37479667,7.665043924,11.68789613,,Down,,1000000,0,1000000
2/13/14 2:00,651.09,654.58,647.86,648.81,6.72,0,1.07,127.8433292,24.81420276,30.00402828,19.40985339,23.46937339,4.059520001,42.87922678,9.467334897,11.52928462,,Down,,1000000,0,1000000
2/13/14 3:00,648.81,649.68,645.3,645.74,4.38,0,2.56,123.0916628,23.04175971,30.42088341,18.71918795,24.71400801,5.994820061,43.43319596,13.80239222,11.69164944,,Down,,1000000,0,1000000
2/13/14 4:00,645.74,649.45,644.25,649.45,5.2,0,1.05,119.4994012,21.39591973,29.29796316,17.90462506,24.51724684,6.612621782,42.4218719,15.58776519,11.96994343,,Down,,1000000,0,1000000
2/13/14 5:00,649.45,653.46,647.83,650.03,5.63,4.01,0,116.5937297,23.87763975,27.20525151,20.47935152,23.33337443,2.854022911,43.81272595,6.51414138,11.58024328,,Down,,1000000,0,1000000
2/13/14 6:00,650.03,651.37,645.56,646.55,5.81,0,2.27,114.0756061,22.17209405,27.53201926,19.43631492,24.13488755,4.698572627,43.57120247,10.78366527,11.52334485,,Down,,1000000,0,1000000
2/13/14 7:00,646.55,648.95,645.24,645.24,3.71,0,0.32,109.6373485,20.58837305,25.88544645,18.77861269,23.61006244,4.831449751,42.38867514,11.39797301,11.51438972,,Down,,1000000,0,1000000
2/13/14 8:00,645.24,648.29,635.68,639.35,12.61,0,9.56,114.4161094,19.11777497,33.59648599,16.70898887,29.36342284,12.65443398,46.07241171,27.46640236,12.65381919,,Down,,1000000,0,1000000
2/13/14 9:00,639.35,643.41,636.77,641.95,6.64,0,0,112.8835301,17.75221962,31.19673699,15.72613791,27.63621669,11.91007879,43.3623546,27.46640236,13.71186085,,Down,,1000000,0,1000000
2/13/14 10:00,641.95,647.89,639.1,642.7,8.79,4.48,0,113.6104208,20.96420393,28.96839864,18.45271215,25.49801191,7.045299758,43.95072407,16.02999702,13.877442,,Down,,1000000,0,1000000
2/13/14 11:00,642.7,650.6,641.59,646.4,9.01,2.71,0,114.5053908,22.17676079,26.8992273,19.3674382,23.49166893,4.124230727,42.85910713,9.62276399,13.57353643,,Down,,1000000,0,1000000
2/13/14 12:00,646.4,654.91,645.64,647.45,9.27,4.31,0,115.5964343,24.90270645,24.97785393,21.5427981,21.60780657,0.065008471,43.15060468,0.150654831,12.61475917,,Down,,1000000,0,1000000
2/13/14 13:00,647.45,647.92,635.46,639.23,12.46,0,10.18,119.7995461,23.12394171,33.3737215,19.30219475,27.8579699,8.555775151,47.16016466,18.14195352,13.00955877,,Down,,1000000,0,1000000
2/13/14 14:00,639.23,639.98,635.08,639.98,4.9,0,0.38,116.1424357,21.47223158,31.36988425,18.48784336,27.00983845,8.521995092,45.49768181,18.73061385,13.41820556,,Down,,1000000,0,1000000
2/13/14 15:00,639.98,641.17,638.55,639.77,2.62,1.19,0,110.4665474,21.12850076,29.12917823,19.12660552,26.36923025,7.242624727,45.49583577,15.9193135,13.59685613,,Down,,1000000,0,1000000
2/13/14 16:00,639.77,649.35,631.26,633.91,18.09,8.18,0,120.6660797,27.79932213,27.04852265,23.03822432,22.41601178,0.622212544,45.4542361,1.368876913,12.72342904,,Up,,1000000,0,1000000
2/13/14 17:00,633.91,635.84,629.1,629.1,6.74,0,2.16,118.787074,25.81365626,27.27648531,21.73103132,22.96250289,1.231471574,44.69353421,2.755368524,12.01142472,,Down,,1000000,0,1000000
2/13/14 18:00,629.1,627.91,619.13,621.5,9.97,0,9.97,120.272283,23.96982367,35.29816493,19.92963222,29.34854485,9.418912632,49.27817707,19.11376027,12.5187344,,Down,,1000000,0,1000000
2/13/14 19:00,621.5,621.53,599.89,600.67,21.64,0,19.24,133.3214057,22.25769341,52.01686744,16.69476353,39.01614086,22.32137733,55.71090439,40.06644225,14.48642782,,Down,,1000000,0,1000000
2/13/14 20:00,600.67,623.38,600.19,609.88,23.19,1.85,0,146.9884481,22.51785817,48.30137691,15.31947473,32.86066185,17.54118713,48.18013658,36.40750809,16.05221927,,Down,,1000000,0,1000000
2/13/14 21:00,609.88,608.76,595,598.46,14.88,0,5.19,151.3692733,20.90943973,50.04127856,13.81352984,33.059073,19.24554317,46.87260284,41.0592585,17.83843636,,Down,,1000000,0,1000000
2/13/14 22:00,598.46,617.25,598.01,611.92,19.24,8.49,0,159.7971823,27.90590832,46.46690152,17.4633294,29.07867388,11.61534448,46.54200328,24.95669216,18.3468832,,Down,,1000000,0,1000000
2/13/14 23:00,611.92,618.77,598.15,599.44,20.62,1.52,0,169.0030979,27.43262915,43.14783712,16.2320274,25.53079658,9.298769176,41.76282398,22.26566188,18.62679596,,Down,,1000000,0,1000000
2/14/14 0:00,598.41,600.69,593.5,596.73,7.19,0,4.65,164.121448,25.47315564,44.71584876,15.52091817,27.24558508,11.72466691,42.76650325,27.41553792,19.25456324,,Down,,1000000,0,1000000
2/14/14 1:00,596.73,597.39,571.59,573.15,25.8,0,21.91,178.1984874,23.65364452,63.43185956,13.27376279,35.59618292,22.32242013,48.86994572,45.67719445,21.14189404,,Down,,1000000,0,1000000
2/14/14 2:00,573.15,584.37,561.19,561.19,23.18,0,10.4,188.6500241,21.96409849,69.30101245,11.64277534,36.73522587,25.09245053,48.37800122,51.86748088,23.33657882,,Down,,1000000,0,1000000
2/14/14 3:00,561.19,586.56,532.8,575.78,53.76,0,28.39,228.9350223,20.39523431,92.74094013,8.908743669,40.50972157,31.6009779,49.41846524,63.94568862,26.23722952,New Trend,Down,Sell,1000000,0,1000000
2/14/14 4:00,575.78,597.23,569.2,596.54,28.03,10.67,0,240.6125207,29.60843186,86.11658726,12.30544103,35.79056776,23.48512672,48.09600879,48.82967904,27.85097591,Current Trend,Down,,1000000,0,1000000
2/14/14 5:00,596.54,610.71,585.5,585.5,25.21,13.48,0,248.6359121,40.97354387,79.96540246,16.47933459,32.16164623,15.68231164,48.64098082,32.24094452,28.1645451,Current Trend,Down,,1000000,0,1000000
2/14/14 6:00,585.5,597.66,575.88,581.12,21.78,0,9.62,252.6562041,38.04686216,83.873588,15.05874843,33.19672608,18.13797765,48.25547451,37.58739881,28.83760608,Current Trend,Down,,1000000,0,1000000
2/14/14 7:00,581.12,584.77,553.32,569.5,31.45,0,22.56,266.0593324,35.32922915,100.4426174,13.27870323,37.75196176,24.47325854,51.03066499,47.95794557,30.20334461,Current Trend,Down,,1000000,0,1000000
2/14/14 8:00,569.5,582.74,562.4,578.07,20.34,0,0,267.3950944,32.80571278,93.26814475,12.26862926,34.88027519,22.61164593,47.14890445,47.95794557,31.4715304,Current Trend,Down,,1000000,0,1000000
2/14/14 9:00,578.07,598.44,561.43,598.44,37.01,15.7,0,285.3054448,46.16244759,86.60613441,16.18000933,30.35558417,14.17557483,46.5355935,30.46179015,31.39940609,Current Trend,Down,,1000000,0,1000000
2/14/14 10:00,598.44,645.5,598.68,608.11,47.06,47.06,0,311.9864844,89.9251299,80.41998196,28.82340562,25.77675187,3.046653755,54.60015749,5.579935838,29.55515822,Current Trend,Up,,1000000,0,1000000
2/14/14 11:00,608.11,620.42,595.8,618.2,24.62,0,2.88,314.3217355,83.50190634,77.55569753,26.5657436,24.67398489,1.891758709,51.23972849,3.69197645,27.70778809,Current Trend,Up,,1000000,0,1000000
