Date,Open,High,Low,Close
"2013-04-25 01:00:00",154.2,162,120.09,141.71
"2013-04-27 01:00:00",136.9,139.88,122.71,128
"2013-04-29 01:00:00",134.44,149.08,133,144
"2013-05-01 01:00:00",139.23,140.06,104,116.38
"2013-05-03 01:00:00",106.25,109,79,98.1
"2013-05-05 01:00:00",112.9,118.85,107,115.98
"2013-05-07 01:00:00",112.25,114,97.52,109.6
"2013-05-09 01:00:00",113.2,113.72,108.8,112.8
"2013-05-11 01:00:00",117.7,118.74,113,115.64
"2013-05-13 01:00:00",114.82,118.88,114.5,117.98
"2013-05-15 01:00:00",111.4,116.44,103.02,114.22
"2013-05-17 01:00:00",118.21,125.56,116.57,123.5
"2013-05-19 01:00:00",123.21,124.5,119.5,122.5
"2013-05-21 01:00:00",122.02,123.08,121.1,122.89
"2013-05-23 01:00:00",123.8,126.93,123,126.3
"2013-05-25 01:00:00",133.1,133.5,128.2,131.99
"2013-05-27 01:00:00",133.5,135.47,124,129.77
"2013-05-29 01:00:00",129,132.72,127.6,132.25
"2013-05-31 01:00:00",128.8,130,126.33,128.82
"2013-06-02 01:00:00",129.3,130.1,115,122.5
"2013-06-04 01:00:00",120.74,123.99,118.79,121.4
"2013-06-06 01:00:00",121.9,123.3,117,118.97
"2013-06-08 01:00:00",111,113.19,107,107.89
"2013-06-10 01:00:00",100.44,110.63,95,106.35
"2013-06-12 01:00:00",109,112.25,106,108.78
"2013-06-14 01:00:00",103.95,104.7,97.1,100
"2013-06-16 01:00:00",99.8,101.75,98.9,99.9
"2013-06-18 01:00:00",101.95,113.3,101.03,107.35
"2013-06-20 01:00:00",108.25,114.48,107.12,111.29
"2013-06-22 01:00:00",109.5,109.96,107.51,108.2
"2013-06-24 01:00:00",107.9,108.33,100.76,102.09
"2013-06-26 01:00:00",103.33,105.49,101.83,104
"2013-06-28 01:00:00",101.74,101.79,92.25,94.66
"2013-06-30 01:00:00",95,98.12,93.85,97.51
"2013-07-02 01:00:00",84.61,88.69,82.4,87.66
"2013-07-04 01:00:00",76.89,79.95,72.57,77.69
"2013-07-06 01:00:00",66.34,69.88,64.25,66.86
"2013-07-08 01:00:00",72.51,76.92,72.36,74.56
"2013-07-10 01:00:00",74.23,87.43,74.23,84.52
"2013-07-12 01:00:00",91.22,98.58,85.99,88.47
"2013-07-14 01:00:00",91.39,92.78,89.58,90.37
"2013-07-16 01:00:00",93.14,94.13,90.91,92.74
"2013-07-18 01:00:00",90.54,92.14,81.28,85.43
"2013-07-20 01:00:00",85.78,86.41,85.5,85.67
"2013-07-22 01:00:00",85.47,86.45,84.49,86.09
