Date,pri,current_12,current_26,MACD,current_signal,centerlineBS,signallineBS
19 Feb 15:06,618.94,617.812780991,616.989985037,0.82279595425,0.106516190658,Buy,Buy
19 Feb 16:13,617.21,617.511390495,617.044988778,0.46640171775,0.250470401495,Buy,Buy
19 Feb 17:20,617.36,617.435695248,617.123741583,0.311953664,0.275063706497,Buy,Buy
19 Feb 18:27,619.0725,618.254097624,617.610931187,0.64316643675,0.422304798598,Buy,Buy
19 Feb 19:34,622.145,620.199548812,618.74444839,1.45510042175,0.835423047859,Buy,Buy
19 Feb 20:41,623.275,621.737274406,619.877086293,1.8601881135,1.24532907412,Buy,Buy
19 Feb 21:48,621.5525,621.644887203,620.29593972,1.34894748325,1.28677643777,Buy,Buy
19 Feb 22:55,616.5875,619.116193602,619.36882979,-0.2526361885,0.671011387262,Sell,Sell
20 Feb 00:02,617.63,618.373096801,618.934122343,-0.5610255415,0.178196615757,Sell,Sell
20 Feb 01:09,620.5825,619.4777984,619.346216757,0.13158164325,0.159550626754,Buy,Sell
20 Feb 02:16,618.7375,619.1076492,619.194037568,-0.08638836775,0.0611750289524,Sell,Sell
20 Feb 03:23,619.8875,619.4975746,619.367403176,0.130171424,0.0887735869715,Buy,Buy
20 Feb 04:30,619.825,619.6612873,619.481802382,0.179484918,0.125058119383,Buy,Buy
20 Feb 05:37,616.6825,618.17189365,618.781976786,-0.6100831365,-0.16899838297,Sell,Sell
20 Feb 06:44,614.585,616.378446825,617.732732589,-1.3542857645,-0.643113335582,Sell,Sell
20 Feb 07:51,601.55,608.964223412,613.687049442,-4.72282602925,-2.27499841305,Sell,Sell
20 Feb 08:58,592.4225,600.693361706,608.370912082,-7.6775503755,-4.43601919803,Sell,Sell
20 Feb 10:05,600.2525,600.472930853,606.341309062,-5.8683782085,-5.00896280222,Sell,Sell
